5.0000000e-02 9.3972102e-03 9.3950002e-03 2.3523195e-02
1.0000000e-01 1.8645927e-02 1.8641544e-02 2.3514957e-02
1.5000000e-01 2.7598030e-02 2.7591545e-02 2.3501227e-02
2.0000000e-01 3.6106137e-02 3.6097660e-02 2.3482003e-02
2.5000000e-01 4.4023979e-02 4.4013654e-02 2.3457282e-02
3.0000000e-01 5.1206761e-02 5.1194767e-02 2.3427063e-02
3.5000000e-01 5.7511526e-02 5.7498076e-02 2.3391341e-02
4.0000000e-01 6.2797512e-02 6.2782852e-02 2.3350113e-02
4.5000000e-01 6.6926504e-02 6.6910912e-02 2.3303375e-02
5.0000000e-01 6.9763181e-02 6.9746964e-02 2.3251122e-02
5.5000000e-01 7.1175449e-02 7.1158945e-02 2.3193347e-02
6.0000000e-01 7.1034778e-02 7.1018352e-02 2.3130045e-02
6.5000000e-01 6.9216521e-02 6.9200563e-02 2.3061209e-02
7.0000000e-01 6.5600223e-02 6.5585147e-02 2.2986833e-02
7.5000000e-01 6.0069923e-02 6.0056166e-02 2.2906907e-02
8.0000000e-01 5.2514449e-02 5.2502468e-02 2.2821425e-02
8.5000000e-01 4.2827689e-02 4.2817957e-02 2.2730376e-02
9.0000000e-01 3.0908860e-02 3.0901866e-02 2.2633752e-02
9.5000000e-01 1.6662758e-02 1.6659005e-02 2.2531543e-02
