	5.000000e-02	9.397238e-03	9.394999e-03	2.383076e-02
	1.000000e-01	1.864598e-02	1.864155e-02	2.378073e-02
	1.500000e-01	2.759811e-02	2.759155e-02	2.376950e-02
	2.000000e-01	3.610624e-02	3.609766e-02	2.377736e-02
	2.500000e-01	4.402410e-02	4.401366e-02	2.372443e-02
	3.000000e-01	5.120690e-02	5.119477e-02	2.370021e-02
	3.500000e-01	5.751169e-02	5.749808e-02	2.367420e-02
	4.000000e-01	6.279768e-02	6.278284e-02	2.363951e-02
	4.500000e-01	6.692668e-02	6.691092e-02	2.356182e-02
	5.000000e-01	6.976336e-02	6.974698e-02	2.349037e-02
	5.500000e-01	7.117563e-02	7.115897e-02	2.342213e-02
	6.000000e-01	7.103496e-02	7.101835e-02	2.339507e-02
	6.500000e-01	6.921669e-02	6.920060e-02	2.325595e-02
	7.000000e-01	6.560038e-02	6.558514e-02	2.324290e-02
	7.500000e-01	6.007006e-02	6.005619e-02	2.310621e-02
	8.000000e-01	5.251457e-02	5.250245e-02	2.308863e-02
	8.500000e-01	4.282779e-02	4.281796e-02	2.296009e-02
	9.000000e-01	3.090893e-02	3.090185e-02	2.290495e-02
	9.500000e-01	1.666279e-02	1.665904e-02	2.249614e-02
